model,threshold,accuracy,precision,recall,f1,f2,mcc,pr_auc,roc_auc,tn,fp,fn,tp
random_forest_balanced,0.22999999999999998,0.8586460194560254,0.5565843621399177,0.9253135689851767,0.6950749464668095,0.8170559806685461,0.6437599328550109,0.7896395045019708,0.9462460118629944,7027,1293,131,1623
logreg_balanced,0.38999999999999996,0.7413142743696645,0.38859832635983266,0.8472063854047891,0.5328074578702043,0.6854243542435424,0.44243033318446584,0.5012784056763147,0.8492225873826857,5982,2338,268,1486
